age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,last_online,location,offspring,pets 1,pets 2,religion,sign,smokes,speaks,essay0,essay1,essay2,essay3,essay4,essay5,essay6,essay7,essay8,essay9
38,single,f,bisexual,fit,strictly other,not at all,,,"native american, other",64.0,-1,artistic / musical / writer,2012-02-09-15-29,"oakland, california",,has dogs,likes cats,,aquarius and it matters a lot,no,"english (fluently), spanish (poorly), portuguese (poorly)","very unavailable....  first of all, i have lots of tattoos, so if that is not your thing, turn away now, cause i am always working on more and more ink.  before we get to me, i just want to say so far this site makes me want to vomit in my mouth, but i am very kind to myself and would rather not, so for now, i see it as amusement. don't take it personal, i am sure for some of you this site is great site especially for the desperate horny type (sorry that doesn't attract me), cause it seems so far most of the peeps that contact me here are in that category, with the very few exceptions to some sweeties out there that made themselves known to me, but not necessarily my type. actually almost no one is. if i could just have some other male and female versions of me, i would need to not look any further. haha! i guess i look on here from time to time because miracles do happen and someone someday might just turn up on here. haha! hey, i like to be optimistic.  i am very picky, trustworthy, honest, respectful, strong, big hearted, sensitive and enjoy my ""me"" time. but if i really like someone, i love to share my time. i am not good at dating and am very changed (for the better) from my last relationship that ended at least 3 years ago, i know, a long time ago, sorry but i was very much in love and would have spent the rest of my life with him. we were not ready for each other. honestly, there is a huge space in my heart for him and i wish him all the love and happiness in the world. i still miss him, but have moved on as much as i can in this moment, even though no one catches my interest. he set the bar extremely high for anyone else that could possibly come into my life and i am not settling for less even if it takes being alone, i am ok with that.  i am stable, present and happy with my life and my progress. very independent and i don't like being smothered or chased unless i ""really"" dig you. if i am not calling and make you chase me, i am probably not interested.  i am not interested in getting together with couples on here, so don't ask. i am not a third wheel, but would marry a guy and a lady at the same time if it was all mutual :-) i like the best of both worlds, and when i say the best, i mean the best.  i am really not into the ""average joe/jane"", you have to stand out big time to me and that is hard, also must be unique, original and true to yourself and not following trends and such, more like a trendsetter. it doesn't mean anyone is less special, i just know what i want. it takes a very special kinda guy/lady to sweep me off my feet and find 1 in a million that even come close to what i had and what i want, woman are a lil bit easier for me to be into, but still picky and holding out for what i want and won't settle for second best. i know, sounds intense, but i know what i want, and it's most likely not you. there is someone else out there that will make you happy or give you what you want. other than that, i am open minded, bad ass and more like one of the guys. a lover and a warrior living life the best i can. i just want peace, a piece of mind, love and happiness in my life.  i love working on and riding motorcycles and fast cars. i was working on my 2000 derbi gpr 50/75 grand prix replica until i got my 1993 ducati monster 900. she wasn't running and i took her apart and put her back together running.  i eat very healthy and and on pretty much an organic diet, with the exception of eating out here and there and having dinner at a friends place. i love being outside, but also tend to hide away to get things done. i love to travel, my favorite place so far has been south america, especially peru. love the tropics and the forests and floating in water. i love to dance, music is a big part of my life. i love acting silly and laughing. i love my life and am happy and love to rub off my positive vibe. i can be a loner, but also love to be social when i feel it. i love to be happy and positive, but not one to wreckon with. i try to solve problems in a positive, communicative way.  i love tattoos and piercings and have alot, not shown in pictures, but have been working on a full back and hip piece, so if that's not your thing, than you should look elsewhere, cause it's a big part of me. a big plus if you have some too!  big ol' dork. i am just me and that's really hard to explain. you will have to experience that one for yourself. big hearted passionate lover.  continuously learning step by step to walk what i talk.  i am intriqued with people of all walks of life. they each have their own individual qualities that play a part in this experience we all are a part of. you would be surprised of what you can learn if you give someone the respect and for you to look them in the eyes as they into yours with smiles exchanged. sometimes it's overwhelming and intense, but the gift you receive in the process is the gratitute for acknoledgement and possibly a new friend. =============================== trustworthy kind sweet passioniate big hearted dreamer bad ass rebel with a cause you have my back and i have yours good with my hands warrior, survivor i love to create and to be creative graphic artist cmt - certified massage therapist professional banked track roller derby skater for the san francisco bay bombers, las vegas high rollers and roller games international music maker fashion design and production i like to construct and deconstruct things mechanic of many media's an observer and a learner a lover and a burner (burning man) ================ aquarius - wood tiger -(near cusp of water ox) ================ aquarius sun taurus moon leo rising mercury is in aquarius venus is in capricorn mars is in taurus jupiter is in aquarius saturn is in gemini uranus is in libra neptune is in sagittarius pluto is in libra n. node is in sagittarius ================= resonant moon day 22 year of the yellow resonant seed kin 53: red magnetic skywalker i unify in order to explore attracting wakefullness i seal the output of space with the magnetic tone of purpose i am guided by my own power doubled ========================== numerology my 'life path' is *8* my 'expression' is *6* my 'soul urge' is *4* ========================== if you are into that stuff.  i am unique, tough-sensitive, extremely picky, and a big hearted lover.","recently, i have been working on my motorcycle. healing, learning and growing. i am at a crossroads and trying to let it work itself out. i have lived like a rock star and have had a very full and exciting life that someone could only dream of. i have owned my own successful graphic arts company as well as a clothing line, but after travelling to south america for a year, i would prefer to work outside keeping bees and a garden and making tinctures and remedies as well as lots of travelling, eating healthy organic food and music making. i love to snowboard, kitesurf, ride motorcycles and drive fast cars.","anything i set my mind to. tinkering, fixing things, listening, holding space.","that i am approachable, very different, a freak, glowing, covered in art, and freaking hot (that's what i have been told and they can't keep their dirty hand off of me, but when i look at myself, yeah, i believe it. at least i am my type;-) i try not to have an ego though, who like egos, not me, but i am proud of myself in the biggest and smallest simplest ways.","books: the land of froud, art of dreaming, mysticism of sound and music, a little book on the human shadow, the secret life of plants, the falcon (john tanner)  movies: the fountain, cidade de deus (city of god), y tu mama tambien, fear and loathing in las vegas, the dark crystal, eternal sunshine of the spotless mind, city of lost children, charlie and the chocolate factory (original willy wonka), the fireball, tipping the velvet, triplets to bellville (a french animation) , henry and june, train spotting, fight club, v for vendetta, requiem for a dream, pan's labyrynth, monsoon wedding, mirror mask, independant films, foreign films  television: my favorite television is a bonfire (yes, the real deal, the one you sit outside around), other than that: ifc, nature shows, documentaries, history channel, animal channel, pbs, twisted and demented series and movies  music: i have a very eclectic taste. almost anything music, all depends on my mood. i like making music with my armpits. live, electronic, blowing in bottles, playing the spoons, tapping on objects in different places to see what sounds i hear and feel, rock n' roll, metal, break beats, dirty breaks, ragga, dub, dub step, drum and bass, downtempo, glitch, idm, world music, tribal beats, asian beats, buddha beats, trip hop, hip hop, old school punk, tool, funk, punk, telepopmusik, fusion, jazz, blues, pop, burlesque, raunchy horn. just make me boogie, fly, cry and love makin music. music is everywhere, in everything. ""those who were dancing were thought to be insane by those who could not hear the music."" -friedrich nietzsche  food: i eat mainly organic sushi, chocolate, smoothies, acai, fine dining, exotic food, sweets, raw foods. i love to eat.","laughter, happiness, love, my doggie, plants, animals, water, sunshine and the moon and stars. as you can read by this, i don't like to follow rules.","how to be a better me, life, happiness, love, where to go from here.","home working on self. trying to figure out a way to have my own farm, with bees, rescued animals, my own garden, with a pond and river to swim in. eating/cooking cleaning my house. listening to music. making music or art. out dancing. chilling with a friend or two. out for dinner. at a camp out festival. getting ready to go out of town. preparing for snowboarding or kitesurfing. sleeping","i am not into dating or these sites. not sure why i am here, except to see what may be out there so far, i am not the slight bit impressed. yuck!!!! people say some of the most unattractive things in notes to me.","how about don't message me if you are looking for a booty call, you won't get it from me.  hopefully by now, i have scared you away."
33,single,m,gay,a little extra,mostly anything,rarely,sometimes,working on college/university,white,70.0,-1,student,2012-06-30-02-10,"oakland, california",doesn't want kids,likes dogs,has cats,atheism - casual,aquarius and it matters a lot,no,"english (fluently), french (poorly), spanish (fluently)","i'm the one person who usually says ""sure"" to whatever crazy idea you just thought of that nobody else wanted to do with you- bonus points if your idea has anything to do with road trips, photo shoots, or jumping out of perfectly good airplanes.  i value good manners very highly. i don't know why okc thinks i don't have any.  i'm rarely serious, except about politics, religion and some social issues. apart from those i'm super easy going. however, i'm ethically inflexible. if you don't know right from wrong (even if you occasionally cross the line), don't bother messaging me. this is pretty key.  i value quality over quantity, especially when it comes to friends. i checked the looking for ""new friends"" box and meant it. it's not something i plan on using as an excuse if i'm not into you.  i do not do drama, and i have a zero-tolerance policy for passive-aggressiveness.  i'm extremely logical, but i can be sensitive when the situation calls for it. don't be surprised though if i try to ""solve"" whatever is upsetting you instead of just keeping my mouth shut and being emotionally supportive. if something is hurting someone i care about i want to make sure it doesn't happen again, right? but not everyone wants that i guess.","i just graduated the sfsu photojournalism program. i'm headed to spain, tunisia amd egypt for july ans aug 2012. back innthe bay in late aug, although mot sure for how long.  i think photography may be one of the only mediums that's capable of breaking through people's apathy these days.  powerful images have positively changed every generation since the advent of photography. i may not take one that changes my generation, but hopefully i'll be able to tell some powerful stories, and do some good along the way.  i haz websites. you can see some of my work at: http://www.elijahnouvelage.com  http://www.facebook.com/elijahnouvelagephoto  lately i've kind of become obsessed with accumulating frequent flier miles, although, unfortunately, not actually through flying. i can't wait to begin using them! (edit: that's how i'm going to tunisia and egypt)  i've always wanted to learn how to hang-glide. someday i will.  i love love love love to travel. i'm only missing antarctica in my passport to have visited all seven continents.","being sarcastic. getting around in foreign countries without getting ruffled or frustrated. being a loyal friend. and, sadly, offending the easily offended.  i beat most of my friends on words with friends, (but they didn't grow up playing scrabble, so it's hardly fair). i'm wanderinghome if you want to play a game.  what i'm not good at? saying what i'm good at.","my lips, my sense of humor. my threadless t-shirts.  my potentially charming or frustrating inability to tolerate superficiality or arrogance.","books: on the road, one flew over the cuckoo's nest, catch-22, captain corelli's mandolin, fear and loathing in las vegas, the giving tree, roughing it, sometimes a great notion, animal farm, to kill a mockingbird, dirk gently's holistic detective agency, (and anything by douglas adams except the last two books in the hitchhiker's guide series), anything by roald dahl (especially his adult stories), siddhartha (i'm not spiritual in any way, but i grew up near a small, clean, beautiful river, so i can identify with him : ), anything by mark twain or shel silverstein, especially the giving tree.  i apologize in advance, but i cannot be attracted to anyone who thinks that the alchemist was a good book, or that it was deep, or that it had any effect on them spiritually or philosophically. i just can't. sorry. it was almost literally the worst book i have ever read. i'm only saving us both a lot of time.  movies: fight club, harold and maude, toy story 1-3 (and almost anything by pixar), the insider, magnolia, children of men, network, delicatessen, pi, requiem for a dream, love actually, the dark knight, blazing saddles, airplane, the naked gun, when harry met sally, primer, war photographer, the fog of war, the 40 year old virgin, dr. strangelove, wall street, wall-e, the great dictator.  music: paul simon, leonard cohen, sarah mclachlan, the beatles, peter gabriel, paul oakenfold, cat stevens, tiesto, brett dennen, portishead, lemon jelly, eric clapton, tom petty, supertramp, gillian welsh.  radio: pandora and this american life.  tv shows: curb your enthusiasm, arrested development, 30 rock, seinfeld, community, tosh.0, louis, it's always sunny in philadelphia, fringe, the event, parks and recreation, archer, californication, family guy, justified, the daily show, the colbert report, sherlock, american dad.  food: sushi, anything with blackberries (especially blackberry pie), cheesecake, pizza, sashimi, bakesale betty's fried chicken sandwiches, thai food, bbq.","not in order:  my camera(s) iphone (filled with music) a valid passport a good book a couple of spare lenses (can those count as one thing?) new york cheesecake topped with fresh blackberries.  it kinda bothers me when people write ""good friends"" or ""smiles"" or ""my awesome family,"" because, like duh. wanting those things in your life is great, but they don't say anything about you. and getting to know who you are is presumably why i'm looking at your profile.",everything. i over think everything.,"going to dinner with friends, watching a movie, reading a book, or doing homework.","i don't know what to write here, but i'm an open book. ask me anything. seriously.  however, i guess i'm willing to admit here that i tear up every single time i read the giving tree.","you're not turned off by sarcasm, have a healthy sense of humor (i.e. be able to laugh at anything), and if you're always up for an adventure.  also, if you're looking for someone nice and sweet and romantic, and aren't just saying that even though you kinda secretly want a guy who's a game-playing dick."
30,single,f,gay,,,,,,"asian, middle eastern, black, native american, indian, pacific islander, hispanic / latin, white, other",65.0,-1,,2012-02-14-13-31,"san francisco, california",,has dogs,,,aquarius and it matters a lot,,english,"brief history:  people love my one-liners. or at least i do. i almost started a bumper sticker business once.  when i was little, i thought sharks lived in the drains of baths. i hated baths. i still do sometimes.  i used to make zines. one of them currently resides in the rare book, manuscript and special collections library in the bingham center at duke university. it travelled many miles across distant lands to eventually end up there, years later.  i like: tom robbins novels shaun of the dead passionate inquisitions the loch ness monster conor oberst quantum physics the rain the bass that goes boom bob dylan political rants tomatoes it's always sunny in philly late night talks ani difranco the moon herbal remedies banjos dreams (good ones) making lists cheese  i'm not into: empty conversations religion lakes guns seinfeld chemicals milk dancing elitists arrogance metal dreams (bad ones) modern country  i am passionate, part-tanuki, and somewhat obsessive",just moved to san francisco from san luis obispo.,listening. analyzing. interpretation. buckin' around in the mud. repeatin' short term mire.. walkin' around with shit on my shoes.,my sixth toe.,"tom fucking robbins. kafka. kerouac. oates. ""youth in revolt"". ""hidden messages in water"". the little prince. ""what the bleep do we know?"". wes anderson films. michel gondry films. christopher guest films. documentaries. (i also look forward to a good hollywood action/adventure flick every now and then.. don't ask me why that is)donnie darko. marvin's room. pecker ...more more more... pixies. modest mouse. joy division. andrew bird. le tigre. elliott smith. ani difranco. bright eyes. xiu xiu. mars volta. the cure. atmosphere. bob dylan. jesus and mary chain. rilo kiley. animal collective. death cab. belle and sebastian. bjork. morrissey. tori amos. wilco. cursive. joanna newsom. pavement. sufjan stevens. arcade fire. sleater-kinney... every one of these artists hold a special spot in my gooey heart, ever-increasing.  if my cd collection were to suddenly come alive in the middle of the night, stack themselves together and morph into a person (a very tall person...), i will have found my soul mate. i am convinced of this.",my experiences. music/art.  contradictions. thought. my crazy dog.,the universe. the environment. the unknown and the what-we-think-we-know-but-really-have-no-fucking-clue.,"maybe at a bar. watching a ""reality"" show....those people are aliens that were rejected from their own planet for being too stupid so they sent 'em to us, that's the theory anyways... walking my dog. eating cereal. listening to music. reading. it all depends really...  i find myself inadvertently driving past cementaries during the middle of the day, but never on a friday night.",i fell in love with a sorceress who ran away with my soul. last i heard it was being auctioned in the streets of auckland for $2000 nzd's/kiwi's; (much less than what it's worth...).,you are remotely similar... and/or you feel like it.
26,single,m,straight,,,not at all,never,dropped out of college/university,white,68.0,-1,other,2011-10-06-05-47,"san francisco, california",,,,other,aquarius and it matters a lot,no,english,"hi my name jason , i'm 5'8 and work at a ice rink and play hockey too sometimes play video too. i watch dvd and record sometimes hockey game to. i watch nhl san jose sharks. i'm look for a girl there like hockey too. sometimes play video too. hang out with my friend and try to meet very nice girl.  do you match me?  take my matchme test  brought to you by: okcupid - free online dating!  i am guy look for a, girlfirend, and n/a",,skate and play hockey,i'm a nice guy and sometimes goofy guy too. i'm a quit guy.,"i read harry potter, hockey for dummies , night at the museum, all other book. food: chiness food , pizza , indian food , salad , junkie food. muisc: soundtrack , rip , oprea , diffrent muisc too.",1.playhockey 2.pretty girl 3.very pretty girl 4.do laundry 5.clean my room 6. clean hockey gear,how to skate better gave on a team. meet a nice girl or a very better girl.,,,
30,single,m,straight,a little extra,mostly vegetarian,rarely,sometimes,graduated from space camp,other,76.0,70000,computer / hardware / software,2012-06-30-13-23,"san francisco, california","doesn't have kids, but might want them",has dogs,likes cats,other,aquarius and it matters a lot,,"english (fluently), c++ (fluently)","hmmmm.... where to actually start. i figure by the time i complete all of these fields, i will actually want to change everything that i have written. but i guess that's how writers really operate.  well i am an it manager for a video game company. also it consultant and android programmer in my spare time. i am a dedicated musician who is currently finishing a full length release with my band ""can't wait to play shows again and go back on tour"". music is my life. there's something about being able to paint such a detailed picture with words and music that has captivated me since i was a small child. i play 6 instruments and sing.  hmmm... what else sums me up. ""like honestly this is awkward as shit trying to figure out things to say that could potentially entice the person that i am interested in lol""  my life is an open book. feel free to ask anything. i don't take myself too seriously ever. granted there is a time and place to have all your shit together when it counts, but missing all the small moments and not sitting back to enjoy the beauty of things really makes for a dull experience while we are here.  i fight for what i believe in and will totally bend over backwards for the people i care about. i'm never concerned with how much work is involved to get from point a to b just making sure i attract the desired outcome. it's all about attraction.",crushing everything i do finishing a full length album work work work spending time with friends and family reading coding writing singing being amazing,fixing anything. i don't know why it just is what it is.,tattoos and piercings. i'm sleeved and my throat is tattooed and i have a fair share of piercings. also don't look like i belong in the field that i am in.,"soo many to list. i love reading. everything from fiction to tech books.  music i wouldn't even know where to start. envy is the greatest band in the world. the amount of passion and spirit that is contained in their music blows my mind.  i <3 food. especially burritos.always down for a food adventure.  movies: big trouble in little china ""lol""",music air water love weed sex,am i taking the right footsteps in my path. am i a man that i can be proud of... who invented the english language. music music music,"writing, singing, programming/coding or saving the world one keystroke at a time",i once farted on the set of blue lagoon.,you're real. you know what you want in this world you're drama free you were interested in anything you saw or read you are down to hang out and go on ridiculous adventures or get something amazing to eat  music is your life.
34,single,m,straight,athletic,,rarely,never,,asian,71.0,-1,medicine / health,2012-05-12-19-40,"oakland, california",has kids,,,other,aquarius and it matters a lot,no,english,"to meet in person is the only way for me to really know if i want this person in my life, so dating is very exciting!",moving forward! like water flowing!,spreading smiles and sharing laughs!,my happiness!,"don't give myself enough time to read! so many movies and such a short attention span! korean, sushi, thai , bbq, etc., etc!",self love! family!outdoors!passion! truth! laughing!,growing!,having fun!,not willing till we meet!,you have a purpose!
24,single,m,gay,thin,,socially,,graduated from space camp,white,71.0,60000,sales / marketing / biz dev,2011-12-14-15-33,"daly city, california",,likes dogs,,christianity - casual,aquarius and it matters a lot,yes,"english (fluently), spanish (okay)","love life. i was raised on a farm in ohio, moved to la when i was 18. i wanted to see more of the states so i decided to move to ny when i was 20.... lived there for a year and decided to go back to la ha. now i'm in sf and... yah.  my friends are my family. 420 friendly but dont smoke. love to go out but def not in the 'scene'",1099... starting a new life here in sf,"surprising people. talking to absolutely everyone, making friends, trying new things. seeing the beauty in everyone/thing.",my eyes and nose. nd that i'm hella quirky.,"building harlequins moon-scifi geek here. i also love reading anything about wwii amores perros, girl interrupted, the shape of things. being a child of the 90's, if you play me alanis, savage garden or the cranberries... i am yours. juanes too lol thai food! also a nice bbq.","blanket, coffee, keys, a job, friends-obvious, my sight.","life, the origin of everything. how beautiful the world is. the things i appreciate.","no typical friday night. either with my friends at home nd a 40, out on the town or just relaxing... most likely the first.","ok, i hate the 's' word. i see it as bedroom talk nd get weirded out when its spoken about in public. private.","you can handle an aquarius. :-)... we are very very chill but need to know why things are the way they are.  basically what im looking for is someone chill to have as a friend. after that, who knows?"
21,single,f,straight,thin,strictly vegetarian,very often,often,graduated from space camp,white,64.0,-1,medicine / health,2012-06-21-12-09,"san francisco, california",,dislikes dogs,has cats,other,aquarius and it matters a lot,yes,"english, english (okay)",i am 20 years old. i have four cats and would like to find someone that either loves cats as much as i do or is extremely cat like.  dog people need not apply.,"taking care of my cats, learning about cats, pretending i am a cat, etc;",,"cat hair on my clothes, boobs","cats and dogs, the adventures of milo and otis, cats- the musical...",-cats -cats -cats -cocaine -cats -also cats,cats.,,my uncle touched me when i was a child,
30,single,m,straight,athletic,,socially,never,working on college/university,"black, native american, pacific islander",79.0,20000,sales / marketing / biz dev,2012-06-30-16-00,"vallejo, california",,has dogs,dislikes cats,christianity - casual,aquarius and it matters a lot,no,english,"im 6'7 225 lbs athletic body and play basketball (in adult leagues, open gyms, weekend tournaments, and on a aba team) and travel around to and from diff cities in cali by myself just to have something to do a 3rd of the time... i worked part time as a cook/prep cook in different kitchens around the bay area also live in a condo in a room mate situation for the time being and i have a aa degree in sociology and almost done with my ba in sociology in which im currently taking a break from so i can take another route in life... me myself is a really cool friendly chill and laid back kinda guy who is from fairbanks, alaska and migrated back to the bay area who finds enjoyment in just about anything as long as im enjoying myself... i am definitely new to the area and don't know to many people around in my area.",as of right now im playing on a aba semi-pro basketball team here in the bay area in hopes of a contract over seas in the near future while perusing a culinary arts degree so that for one i can keep a good paying full time job in a kitchen for two become a sous chef and work my way up to head chef and for three eventually open up a line of catering trucks of some sort and buy my way into the cafe world and also works at a home decor store called kirklands and no its not the costco brand lol.,"giving good advise, playing basketball, cooking, sports, being a man","my height 6'7"", my friendliness, skin tone, eyes, lips, laid back attitude",,"iphone, food, internet, sex, women, air, god, mom, grand ma, back pack, ball capp, hoodie",different ways to better my life and to one day live as if i was apart of the brady bunch family,"working, hanging out, or looking for something to do",im addicted to wearing woman's sauve deodorant and taking a shower in baby wash (baby magic to be exact) also i am not perfect and neither are you... in saying that i do have flaws none of which i enjoy talking about but currently being worked on one by one... what ever you decide to do just don't let my flaws be a deal breakers between us... over time you will understand my flaws... never live life being a shallow person,your someone who wants to show me a good time im open to new things/people if you feel like i can be the friend for you drop me a few lines and let me know whats on your mind... i do not discriminate on weight color or backgrounds... everybody deserve a chance in my book so hit me up
26,single,f,bisexual,fit,mostly anything,not at all,never,graduated from high school,white,68.0,-1,unemployed,2012-06-30-14-38,"oakland, california","doesn't have kids, but might want them",likes dogs,has cats,other,aquarius and it matters a lot,yes,"english (fluently), spanish (poorly)","hi, i'm anj. i'm random,fun-loving,spontaeneous, single, looking for either mr.right,or mr.sexy. i live in oakland. love music,art,serenity. i'm clean and sober,and loving it! *i don't smoke weed,but, i have no probz with people who do, it's medicine*",taking it one day at a time. enjoying life as much as possible.,"making people laugh, being random. being weird:-p","i have green eyes, athletic legs, and my sense of style is quite unusual:-d","books: astrology....movies: horror,comedy,80's movies,some druggy movies....shows: ? i don't have cable!...music: all different kinds!food: i love indian,mexican and italian foodz:-))",* family *music * coffee * oxygen * art * *love,hahaha! life.,"at lake merrit, chillin!",* my hair is actually brown *,"* you are effing hot, have tattoos/piercings,enjoy life,are single,want a different kinda chick in your life, love music:-] or if you are down to meet someone new."
30,single,m,straight,fit,mostly anything,not at all,sometimes,working on masters program,white,74.0,-1,artistic / musical / writer,2012-06-30-23-00,"san francisco, california","doesn't have kids, but might want them",likes dogs,likes cats,other,aquarius and it matters a lot,no,english,"writer of fiction. usually reading or engaging in something literature related. i don't drink  don't mind if others drink. disinclination for small talk. preference for things that matter deeply in one way or another. takes things very seriously. takes things not seriously at all. irrationality- / melodrama-phobic.  i like nice people.  ""aloof""  not to be confused with""loofa.""  infj.  see my ""you should message me if..."" regarding committed dating.","cultivating a strict daily routine involving 7am wake-ups and midnight bed-timesyep. working on a novel. working on short stories. working toward my mfa in creative writing. teaching, mentoring. reading. a lot of reading. tea. caring about stuff. ogling.",trying to be nice. wanting to help. advising.,"sometimes i wear a tie. i look younger than i am. ""you have pretty eyes.""","garfield: a tale of two kitties has been a mantric and enriching part of the way i have come to understand the universe.  no, i don't know. infinite jest (a very *un*pretentious book, in my opinion. if you don't agree, we either now have something to talk about, or, i'm disappointed in you). baraka. the wonder years (maybe the best show in the history of television). telefon tel aviv. edible things.","1: ""good fiction,"" which i do not think is mistakenly conflated with the word ""hope.""  2: critical and debilitating cognizance.  3: books.  4: time to myself / a cave.  5: the ability to leave.  6: ________________.","what ""good art"" might be, and how i can actively work towards creating it.  how to be better.  why i wake up consistently as if i've slept poorly.  writing / my novel in progress.","drinking coffee somewhere, writing and reading. wandering.",fart.,"[disclaimer: as with all things, situations and conceptions change. who knows what happens if we hit it off.]  if you think you'd like to be friends  i'm not looking for a ""relationship"" right now; if you don't really like small talk; if you read; if you care about things; if you're interested in developing relationships with other human beings that are complex and profound and meaningful; if you do not have (or do not any longer) (or would like to discontinue) a tornadic proclivity towards drinking a lot of alcohol very often; if you do not like wasting your or other people's time; if you feel like it; if you are maybe weird, or like weirdness, or are at the least drawn to the weird  even though i may not outwardly appear, in all senses of the word, weird  because i like and enjoy the fact that there is not really any such thing as ""normal,"" and thus appreciate other people who foster the same kind of recognitions; if you are not looking to have a serious or committed relationship but want to entertain the sorts of human connection that might develop you as a human being; if your idea of an ""uncommitted relationship"" involves care and concern and sincere connection (or even if maybe it doesn't); if it seems like even a remotely decent idea;  if you're interested."
23,seeing someone,m,gay,thin,mostly vegetarian,often,,working on college/university,white,72.0,-1,rather not say,2011-11-26-20-17,"berkeley, california",,,likes cats,buddhism - casual,aquarius and it matters a lot,when drinking,"english (fluently), sign language (okay)","a self-summary seems far too restricting, but i'll do my best.  born in the suburbs of berkeley - i'm currently finishing up my degree in art history at virginia commonwealth university in richmond. quirks: espresso twice a day, always sneezes three times, and an odd penchant for spelunking. i'm also more of a cat person, and can change my own tires. which often makes me wonder if i'm a bit more of a lesbian. the l word is a pretty great show, after all (who doesn't love that intense drama?). but second to project accessory. sewing is my drug. biking. saving up for that vespa.  sea otter activist (you need to love something wholeheartedly - i'm doing my part - too cute not to love).  always houndstooth. never paisley.",,,,,sewing machine. needles. pins. thread. fabric. scissors.,,,,
26,single,f,bisexual,overweight,mostly anything,rarely,never,working on college/university,"asian, pacific islander, hispanic / latin, white, other",64.0,20000,unemployed,2011-12-26-04-47,"martinez, california",,likes dogs,likes cats,other,aquarius and it matters a lot,no,english (fluently),"just recently separated. i was living with my husband in jacksonville, fl. i'm not looking for anything serious right away. just mostly testing the waters to see if there is someone out there i connect with better. i'm left-handed. i went to community college for 2 semesters, where i was an active member of the school newspaper. i like to write, and take photos. i love art and poetry. i was in the navy for about 5yrs, as a master at arms, and i didn't really like it, other than meeting some cool people, and having gone to some interesting places. i'm not much of a sports fanatic. i like to play football, basketball, golf and volleyball... i'm just not into watching them on tv all that much. if i do claim a team it's the green bay packers - but don't dare call me a bandwagoner. i was raised a packers fan. i spent a big portion of my childhood in fargo, nd, where my dad's family mostly lives. there the big rivalry is the packers and mn vikings. my dad's family all went for vikings, so my dad choose packers, back when he was a kid. he taught me about football, by explaining game rules, on the old football game on super nintendo. i love video games, i love stargazing, and being out in nature. i'm deeply spiritual. i consider myself an eclectic pagan. i believe spirituality that is rooted in science. i care about trying to eat healthy, and getting exercise. i'm not exactly where i want to be physically, but i'm on a path to improve my overall health - mind, body and spirit. i love nerdy / smart guys.","i'm going to start a one year psychiatric technician program in january. while i'm getting this done, i plan to get all my regular college pre-requisites out of the way. when i'm done with the psych tech program, i want to continue my education, and want to pursue a degree in neuroscience. i'm interested in how the chemicals in the brain affect us.","being part of a community, working alone, thinking for myself, being a leader, and being a friend.","is that i have a nice smile, i'm sweet, and i'm genuine.","the book i'm currently reading is eckhart tolle's, a new earth. i'm more into reading non-fiction books about self-realization and spirituality. fictional books i've enjoyed are: ender's game, the entire mists of avalon series, enchanment (the one by orson scott card), the catcher in the rye, butterfly revolution, moulin rouge, the davinci code, the animorph series, and many others. for movies i only really like comedies or movies with adventure. i love the x-men movies, the first two mummies, all the star wars, national treasure, da vinci code... i don't like horror movies anymore, and war action movies irritate me. the only action movies i really like are things that involve martial arts. my favorite tv show right now is the big bang theory - i also like charmed, family guy, south park, futurama, simpsons, and once upon a time. i don't watch too much tv though. lately all i watch is big bang theory and once upon a time. i also like the history channel's ancient aliens, and curiosity. food- i have a very eclectic pallet. i enjoy cooking and experimenting and trying different food. i prefer to cook healthy. i love mediterranean food, italian, indian, filipino, mexican food and many others. i'm not vegetarian, but i can understand why people do it. i'm not crazy about meat. i prefer lean meats. i'm not very experimental with meat. i eat chicken, turkey, beef, some fish, and some other seafoods, but that's about it. i've considered giving up meat here n there, and think i could actually be vegetarian someday. i hate hunting and fishing for pure sport. i love to shoot guns, but not at living things.","1) the internet - i'm a slave to the internet... but sorry, growing up, if i hadn't gotten connected, i might still think i'm catholic. 2)family 3)hygiene 4)lotion 5)my 5 physical senses 6)food and water - prolly air too... :)","self-development, society, the universe...","right now stuck at home online... due to lack of funds and transportation. i just moved back here, and am staying with my mom, and have no car. so my current situation makes doing anything pretty difficult. if i had a choice. i'd be exploring some cool natural wonders in cali, walking the streets of berkeley, stargazing on the beach. seeing a good movie, bowling... w/e.","when left completely alone, i sometimes get a lot of weird energy and bum out and make stupid faces n dance crazy and sing real loud throughout the house til i think someone is going to catch me.","you're okay with not being absolutely sure what you want in a relationship right now, but are open to possibilities, and would like to have fun and have some company."
